Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
38212124,Nomadland: Surviving America in the Twenty-First Century,Jessica Bruder,"Bruder, Jessica",,"=""""","=""""",0,4.03,W. W. Norton & Company,Paperback,288,2018,2017,,2018/12/12,,,read,,,,1,0
28596619,Civilized to Death: What Was Lost on the Way to Modernity,Christopher  Ryan,"Ryan, Christopher",,"=""""","=""""",5,4.14,Simon and Schuster,Paperback,400,2018,2018,,2024/09/23,,,read,,,,1,0
9833014,On The Road To Babadag: Travels in the Other Europe,Andrzej Stasiuk,"Stasiuk, Andrzej",Michael Kandel,"=""0151012717""","=""9780151012718""",0,3.69,Mariner Books,Hardcover,272,2011,2004,,2019/10/27,,,read,,,,1,0
764165,The Snow Leopard,Peter Matthiessen,"Matthiessen, Peter",,"=""0140255087""","=""9780140255089""",0,4.07,Penguin Books,Paperback,338,1996,1978,,2019/08/29,,,read,,,,1,0
35133922,Educated,Tara Westover,"Westover, Tara",,"=""0399590501""","=""9780399590504""",0,4.47,Random House,Hardcover,352,2018,2018,,2018/12/10,,,read,,,,1,0
28259130,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""0062457713""","=""9780062457714""",0,3.87,Harper,Hardcover,212,2016,2016,,2018/11/10,,,read,,,,1,0
38820046,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,"=""0525512179""","=""9780525512172""",0,4.16,Random House,Hardcover,372,2018,2018,,2018/10/26,,,read,,,,1,0
63689,The Great Railway Bazaar: By Train Through Asia,Paul Theroux,"Theroux, Paul",,"=""0618658947""","=""9780618658947""",0,3.90,Mariner Books Classics,Paperback,342,2006,1975,,2019/08/28,,,read,,,,1,0
790171,Kon-Tiki,Thor Heyerdahl,"Heyerdahl, Thor",,"=""0671726528""","=""9780671726522""",0,4.16,Rand McNally,Paperback,240,1990,1948,,2024/09/26,,,read,,,,1,0
1898,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,"Krakauer, Jon",,"=""""","=""""",0,4.26,Anchor Books,Paperback,368,1999,1997,,2024/09/26,,,read,,,,1,0
9791,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,"Bryson, Bill",,"=""0307279464""","=""9780307279460""",0,4.07,Vintage,Mass Market Paperback,397,2006,1998,,2018/10/26,,,read,,,,1,0
204927599,Nexus: A Brief History of Information Networks from the Stone Age to AI,Yuval Noah Harari,"Harari, Yuval Noah",,"=""059373422X""","=""9780593734223""",0,4.17,Random House,Hardcover,528,2024,2024,,2024/09/26,,,read,,,,1,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""0060935464""","=""9780060935467""",0,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2024/09/26,,,read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",0,4.20,Houghton Mifflin Harcourt,ebook,298,2013,1949,,2024/09/26,,,read,,,,1,0
36791651,Fatbiking across Mongolia: A 2000 kilometre bikepacking adventure (Cycling Adventures around the World Book 3),Tom Bruce,"Bruce, Tom",,"=""""","=""""",0,4.46,Tom Bruce Cycling,Kindle Edition,163,2017,,,2024/09/19,to-read,to-read (#30),to-read,,,,0,0
37651557,Genghis Khan: A Life From Beginning to End (History of Mongolia),Henry Freeman,"Freeman, Henry",Hourly History,"=""""","=""""",0,3.95,,Kindle Edition,41,2017,2016,,2024/09/19,to-read,to-read (#29),to-read,,,,0,0
7809297,Zajícův rok,Arto Paasilinna,"Paasilinna, Arto",Jan Petr Velkoborský,"=""8086026272""","=""9788086026275""",0,3.63,Hejkal,Hardcover,145,2004,1975,,2023/11/06,,,read,,,,1,0
12382143,Explorers of the Nile: The Triumph and Tragedy of a Great Victorian Adventure,Tim Jeal,"Jeal, Tim",,"=""0300149352""","=""9780300149357""",4,3.82,Yale University Press,Hardcover,528,2011,2011,,2018/11/15,,,read,,,,1,0
