Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58730652,Paradais,Fernanda Melchor,"Melchor, Fernanda",Sophie Hughes,"=""1913097870""","=""9781913097875""",3,3.62,Fitzcarraldo Editions,Paperback,118,2022,2021,2025/07/24,2025/07/24,2025,2025 (#11),read,,,,1,0
61842212,Soldier Sailor,Claire Kilroy,"Kilroy, Claire",,"=""""","=""""",0,4.05,Faber & Faber,ebook,256,2023,2023,,2025/07/21,to-read,to-read (#123),to-read,,,,0,0
216522629,"Open, Heaven",Seán Hewitt,"Hewitt, Seán",,"=""0593802845""","=""9780593802847""",5,3.98,Knopf,Hardcover,224,2025,2025,2025/07/20,2025/03/08,2025,2025 (#10),read,,,,1,0
231477530,Podivnost,Valerio la Martire,"Martire, Valerio la",Monika Štefková,"=""8053037038""","=""9788053037037""",0,4.28,Meridione,Paperback,192,2025,2013,,2025/07/15,to-read,to-read (#122),to-read,,,,0,0
63094957,The Rachel Incident,Caroline O'Donoghue,"O'Donoghue, Caroline",,"=""0593535707""","=""9780593535707""",4,4.07,Knopf,Hardcover,304,2023,2023,2025/07/12,2024/02/07,2025,2025 (#9),read,,,,1,0
218153678,Disappoint Me,Nicola Dinan,"Dinan, Nicola",,"=""0593977874""","=""9780593977873""",4,4.06,The Dial Press,Hardcover,320,2025,2025,2025/07/06,2025/01/23,2025,2025 (#8),read,,,,1,0
214269394,Deep Cuts,Holly Brickley,"Brickley, Holly",,"=""0593799089""","=""9780593799086""",0,3.67,Crown,Hardcover,277,2025,2025,,2025/06/23,to-read,to-read (#121),to-read,,,,0,0
217482296,Separate Rooms,Pier Vittorio Tondelli,"Tondelli, Pier Vittorio",Simon Pleasance,"=""1638932085""","=""9781638932086""",0,4.01,Zando,Hardcover,256,2025,1989,,2025/06/16,to-read,to-read (#120),to-read,,,,0,0
216389266,No Names,Greg Hewett,"Hewett, Greg",,"=""1566897254""","=""9781566897259""",0,4.10,Coffee House Press,Paperback,352,2025,2025,,2025/06/11,to-read,to-read (#119),to-read,,,,0,0
222683982,Somebody Is Walking on Your Grave: My Cemetery Journeys,Mariana Enríquez,"Enríquez, Mariana",Megan McDowell,"=""0593733517""","=""9780593733516""",0,3.92,Hogarth,Hardcover,336,2025,2013,,2025/03/27,to-read,to-read (#117),to-read,,,,0,0
